materialName,thicknessMm,totalItems,totalQty,totalAreaMm2,totalAreaM2,completeItemsPct,sampleMaterialRaw
#304,0.8,3052,8132.111028576997,173125394362837.72,173125394.3628,95.48,"#304-0,8-1000075"
#430,0.8,2290,4992.683971648,53256851104299.03,53256851.1043,98.52,"#430-0,8-1000043"
#430,0.5,1348,2440.1223088,24611321177052.76,24611321.1771,99.11,"#430-0,5-1000018"
#304,1,931,3001.8942951060003,6374829985963.09,6374829.986,97.31,"#304-1,0-1000012"
GALV,0.5,278,547.0592376440001,5994081516613.32,5994081.5166,100,"# GALV-0,5-1001502"
#304,1.2,326,1826.895571915,3896803214076.75,3896803.2141,97.24,"#304-1,2-1000103"
GALV,0.9,857,6710.827775458,3780152496087.89,3780152.4961,99.42,"# GALV-0,9-1001503"
#304,NA,936,9199,3567240988312.33,3567240.9883,0,INOX 304
#430,1,419,1446,3408029212793.31,3408029.2128,94.27,"#430-1,0-1000046"
#430,1.2,489,1031,3182429832278.41,3182429.8323,98.16,"#430-1,2-1000057"
ALUMINIO,NA,867,27066,2264988775711,2264988.7757,0,ALUMINIO
#304,0.5,702,1374.9221656,1781285772073.06,1781285.7721,99.15,"#304-0,5-1000087"
MATERIAL_RAW,0.8,85,375.487401408,1331877626473.88,1331877.6265,0,"TG-20x20x0,8-1004588"
#304,2,485,2495.7935212200005,867760679849.69,867760.6798,96.91,"#304-2,0-1000108"
ACO_CARBONO,4.75,6,36.930616167,319881597285.31,319881.5973,100,"#1020-4,75-1001512"
#430,NA,42,54,229539091678.36,229539.0917,0,INOX 430
MATERIAL_RAW,0.5,74,154,216666111655.17,216666.1117,0,"# PRETA-0,5-1001527"
ALUMINIO,0.5,202,341,173412139296.73,173412.1393,100,"ALUM-0,5-1050048"
GALV,NA,244,13997,145211012954.15,145211.013,0,Aço galvanizado
#430,1.5,56,139,87181766741.97,87181.7667,98.21,"#430-1,5-1000127"
#430,2,659,1251,30613108901.87,30613.1089,99.85,"#430-2,0-1000060"
MATERIAL_RAW,NA,6770,50421.74451908,925281126.52,925.2811,0,
GALV,1.2,5,13,257670020.47,257.67,100,"# GALV-1,2-1001504"
#304,1.5,211,758.0134121599999,83373176.53,83.3732,98.58,"#304-1,5-1000073"
ALUMINIO,1,46,61,34230529.18,34.2305,100,"#ALUM-1,0"
ALUMINIO,2,11,20,9490193.12,9.4902,100,"#ALUM-2,0"
ACO_CARBONO,NA,447,7562,4017793.13,4.0178,0,AISI 1020
#430,0.9,24,288,3974650.38,3.9747,100,"# 430-2B-0,9-1001503"
#304,3,151,345,2132736.92,2.1327,98.68,"#304-3,0-1000088"
ACO_CARBONO,2,7,44,1638762.18,1.6388,100,"#1020-2,0-1001511"
ACO_CARBONO,3,11,33,1447920.82,1.4479,72.73,"#1020 - 3/8"""
MATERIAL_RAW,1,288,1001,1183664.4,1.1837,0,"T-COB-Ø1/4""-1007599"
ACO_CARBONO,5,5,15,577754,0.5778,100,"#1020 - 5/8"""
GALV,1.5,3,4,475559.22,0.4756,100,"# GALV-1,5 1001550"
MATERIAL_RAW,6,96,220,383292,0.3833,0,Náilon 6/10
#304,4.8,2,20,360000,0.36,50,"#304-4,8 (3/16"")"
MATERIAL_RAW,1.5,57,305.11,350520,0.3505,0,"TI-Ø 5/8""x1,5mm"
#430,3,30,40,281567.04,0.2816,93.33,"#430-3,0-10000"
ALUMINIO,3,2,2,167305.64,0.1673,100,"ALUM-3,0-1050057"
#304,0.6,1,1,57223.08,0.0572,100,"#304-0,6-PERFURADA-1000095"
MATERIAL_RAW,1.1,258,6547,13176.25,0.0132,0,"TI-Ø1.1/4""x1-1003005"
INOX,NA,1351,26147,0,0,0,INOX
MATERIAL_RAW,5,292,860,0,0,0,"BI-Ø 5/8"""
MATERIAL_RAW,3,115,378,0,0,0,"BR-Ø3/4""-1006364"
MATERIAL_RAW,4,31,39,0,0,0,"TISCH-40-3/4""-1003015"
MATERIAL_RAW,1.2,21,78,0,0,0,"TI-30x30x1,2-1003056"
ACO_CARBONO,1.1,4,12,0,0,0,BARRA CH. 1.1-4'' X 1-8'' - 1020
MATERIAL_RAW,2.83,29,31,0,0,0,"T-C-SCH 3-4-Ø26,7X2,83MM-1004587"
INOX,3,10,15,0,0,0,"TB INOX 3/4"" X1MM"
INOX,1,48,77,0,0,0,"TB INOX 1"" x 1 mm"
INOX,1.1,68,276,0,0,0,"TB INOX 1.1/2"" x 1 mm"
MATERIAL_RAW,10,1,1,0,0,0,TISCH-10 -2'' - 1003062
MATERIAL_RAW,16,1,1,0,0,0,GAXETA SILICONE TIPO E 16x20-1007700
MATERIAL_RAW,7,7,13,0,0,0,PVC 0.007 Plasticizado
MATERIAL_RAW,12,3,4,0,0,0,FITA LED 12V - 1006506
MATERIAL_RAW,20,24,100,0,0,0,1008036 - PF UNIÃO CH 20mm
INOX,1.2,1,4,0,0,0,"TB INOX 2"" x 1,2 mm"
GALV,1.1,1,1,0,0,0,CANTONEIRA 1.1-4'' X 1-8'' - GALV.
INOX,9.5,6,28,0,0,0,"INOX 200 Ø9,5"
MATERIAL_RAW,18.85255545,1,1,0,0,0,"TOTAL: 18,85255545"
MATERIAL_RAW,3.38,23,93,0,0,0,"T-C-SCH-Ø33,4X3,38MM-1004552"
ACO_CARBONO,1,2,2,0,0,0,"TUBO ACO CARBONO 1"" X 1"" QUADRADO"
ACO_CARBONO,2.1,1,1,0,0,0,"TUBO ACO CARBONO SCH 3/4 (26,70 X 2,1MM) - 6M"
ACO_CARBONO,3.38,1,1,0,0,0,"TUBO ACO CARBONO PRETO SCH-40 - 1 (33,4 X 3,38MM) - 6M"